overall,age
75,33
75,33
75,38
75,32
75,34
75,33
75,30
75,32
75,32
75,32
75,31
75,31
75,32
75,30
75,32
75,32
75,32
75,32
75,32
75,33
75,31
75,33
75,33
75,32
75,32
75,34
75,29
75,29
75,30
75,36
75,34
75,30
75,30
75,34
75,31
75,32
75,31
75,31
75,30
75,33
75,29
75,32
75,29
75,31
75,30
75,31
75,30
75,28
75,31
75,29
75,29
75,30
75,33
75,29
75,29
75,32
75,31
75,29
75,28
75,29
75,29
75,29
75,29
75,30
75,30
75,31
75,28
75,28
75,28
75,30
75,33
75,30
75,31
75,30
75,30
75,30
75,30
75,30
75,29
75,28
75,29
75,31
75,29
75,30
75,28
75,29
75,28
75,28
75,33
75,28
75,30
75,28
75,30
75,28
75,30
75,29
75,28
75,28
75,30
75,30
75,34
75,30
75,28
75,30
75,28
75,29
75,28
75,33
75,28
75,32
75,31
75,32
75,28
75,29
75,31
75,34
75,33
75,29
75,34
75,27
75,29
75,28
75,30
75,27
75,31
75,29
75,27
75,30
75,30
75,29
75,28
75,29
75,28
75,28
75,27
75,29
75,29
75,28
75,28
75,27
75,28
75,29
75,30
75,28
75,29
75,28
75,29
75,27
75,33
75,29
75,28
75,28
75,31
75,28
75,31
75,29
75,30
75,32
75,27
75,28
75,28
75,31
75,30
75,26
75,29
75,33
75,28
75,27
75,32
75,32
75,27
75,27
75,29
75,28
75,30
75,30
75,30
75,29
75,30
75,28
75,29
75,29
75,28
75,31
75,28
75,27
75,30
75,29
75,27
75,35
75,27
75,31
75,27
75,27
75,27
75,35
75,27
75,35
75,27
75,27
75,27
75,35
75,27
75,27
75,27
75,31
75,29
75,35
75,33
74,18
74,19
74,18
74,19
74,19
74,20
74,22
74,22
74,22
74,20
74,20
74,21
74,21
74,19
74,20
74,19
74,19
74,19
74,21
74,21
74,21
74,21
74,22
74,20
74,21
74,23
74,21
74,21
74,22
74,23
74,21
74,21
74,22
74,20
74,19
74,21
74,23
74,20
74,21
74,23
74,21
74,21
74,22
74,22
74,22
74,24
74,23
74,23
74,21
74,22
74,22
74,21
74,23
74,23
74,23
74,21
74,23
74,23
74,21
74,23
74,23
74,22
74,22
74,21
74,23
74,22
74,24
74,25
74,23
74,23
74,23
74,23
74,22
74,22
74,23
74,23
74,25
74,22
74,23
74,21
74,22
74,24
74,22
74,22
74,25
74,24
74,24
74,25
74,23
74,23
74,23
74,24
74,24
74,24
74,24
74,22
74,24
74,22
74,23
74,23
74,21
74,26
74,26
74,25
74,24
74,25
74,25
74,25
74,25
74,25
74,25
74,25
74,25
74,24
74,24
74,25
74,26
74,26
74,24
74,23
74,23
74,25
74,23
74,25
74,22
74,23
74,24
74,22
74,25
74,25
74,26
74,24
74,25
74,25
74,24
74,24
74,24
74,24
74,25
74,25
74,25
74,26
74,25
74,24
74,24
74,24
74,25
74,25
74,24
74,25
74,25
74,25
74,25
74,26
74,27
74,26
74,26
74,28
74,26
74,25
74,25
74,25
74,26
74,26
74,26
74,26
74,26
74,26
74,25
74,26
74,24
74,25
74,26
74,24
74,26
74,26
74,25
74,28
74,25
74,26
74,26
74,25
74,27
74,26
74,25
74,25
74,26
74,24
74,25
74,25
